route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
14,10,10170,15 Esquimalt - Fort/Yates Exp,,0,65670,62,0,0
14,2,10171,15 Esquimalt - Fort/Yates Exp,,0,65520,62,0,0
14,2,10172,15 Esquimalt - Fort/Yates Exp,,0,65570,62,0,0
14,9,10173,15 Esquimalt - Fort/Yates Exp,,0,65950,62,0,0
14,2,10174,15 Esquimalt - Fort/Yates Exp,,0,65620,62,0,0
14,10,10175,15 Esquimalt - Fort/Yates Exp,,0,65638,62,0,0
14,1,10176,15 Esquimalt - Fort/Yates Exp,,0,65243,62,0,0
14,9,10177,15 Esquimalt - Fort/Yates Exp,,0,65984,62,0,0
14,9,10178,15 Esquimalt - Fort/Yates Exp,,0,65918,62,0,0
14,9,10179,15 Esquimalt - Fort/Yates Exp,,0,65918,62,0,0
14,9,10180,15 Esquimalt - Fort/Yates Exp,,0,65950,62,0,0
14,9,10181,15 Esquimalt - Fort/Yates Exp,,0,65905,62,0,0
14,9,10182,15 Esquimalt - Fort/Yates Exp,,0,65936,62,0,0
14,9,10183,15 Esquimalt - Fort/Yates Exp,,0,65939,62,0,0
14,9,10184,15 Esquimalt - Fort/Yates Exp,,0,65986,62,0,0
14,9,10185,15 Esquimalt - Fort/Yates Exp,,0,65904,62,0,0
14,9,10186,15 Esquimalt - Fort/Yates Exp,,0,65905,62,0,0
14,2,10187,15 Esquimalt - Fort/Yates Exp,,0,65342,62,0,0
14,9,10188,15 Esquimalt - Fort/Yates Exp,,0,65985,62,0,0
14,9,10189,15 Esquimalt - Fort/Yates Exp,,0,65986,62,0,0
14,9,10190,15 Esquimalt - Fort/Yates Exp,,0,66022,62,0,0
14,1,10191,15 Esquimalt - Fort/Yates Exp,,0,65225,62,0,0
14,1,10192,15 Esquimalt - Fort/Yates Exp,,0,65176,62,0,0
14,7,10193,15 Esquimalt - Fort/Yates Exp,,0,65871,62,0,0
14,7,10194,15 Esquimalt - Fort/Yates Exp,,0,65816,62,0,0
14,7,10195,15 Esquimalt - Fort/Yates Exp,,0,65757,62,0,0
14,7,10196,15 Esquimalt - Fort/Yates Exp,,0,65757,62,0,0
14,7,10197,15 Esquimalt - Fort/Yates Exp,,0,65782,62,0,0
14,10,10198,15 Esquimalt - Fort/Yates Exp,,0,65723,62,0,0
14,7,10199,15 Esquimalt - Fort/Yates Exp,,0,65785,62,0,0
14,7,10200,15 Esquimalt - Fort/Yates Exp,,0,65788,62,0,0
14,7,10201,15 Esquimalt - Fort/Yates Exp,,0,65835,62,0,0
14,7,10202,15 Esquimalt - Fort/Yates Exp,,0,65820,62,0,0
14,10,10203,15 Esquimalt - Fort/Yates Exp,,0,65689,62,0,0
14,1,10204,15 Esquimalt - Fort/Yates Exp,,0,64941,62,0,0
14,1,10205,15 Esquimalt - Fort/Yates Exp,,0,65092,62,0,0
14,1,10206,15 Esquimalt - Fort/Yates Exp,,0,65108,62,0,0
14,7,10207,15 Esquimalt - Fort/Yates Exp,,0,65797,62,0,0
14,7,10208,15 Esquimalt - Fort/Yates Exp,,0,65817,62,0,0
14,7,10209,15 Esquimalt - Fort/Yates Exp,,0,65826,62,0,0
14,7,10210,15 Esquimalt - Fort/Yates Exp,,0,65881,62,0,0
14,7,10211,15 Esquimalt - Fort/Yates Exp,,0,65899,62,0,0
14,9,10212,15 Esquimalt - Fort/Yates Exp,,0,65926,62,0,0
14,7,10213,15 Esquimalt - Fort/Yates Exp,,0,65752,62,0,0
14,7,10214,15 Esquimalt - Fort/Yates Exp,,0,65752,62,0,0
14,9,10215,15 Esquimalt - Fort/Yates Exp,,0,65915,62,0,0
14,7,10216,15 Esquimalt - Fort/Yates Exp,,0,65771,62,0,0
14,4,10217,15 Esquimalt - Fort/Yates Exp,,0,66461,62,0,0
14,4,10218,15 Esquimalt - Fort/Yates Exp,,0,66223,62,0,0
14,4,10219,15 Esquimalt - Fort/Yates Exp,,0,66354,62,0,0
14,6,10220,15 Esquimalt - Fort/Yates Exp,,0,66060,62,0,0
14,6,10221,15 Esquimalt - Fort/Yates Exp,,0,66058,62,0,0
14,4,10222,15 Esquimalt - Fort/Yates Exp,,0,66356,62,0,0
14,9,10223,15 Esquimalt - Fort/Yates Exp,,0,65958,62,0,0
14,2,10224,15 Esquimalt - Fort/Yates Exp,,0,65460,62,0,0
14,2,10225,15 Esquimalt - Fort/Yates Exp,,0,65462,62,0,0
14,2,10226,15 Esquimalt - Fort/Yates Exp,,0,65493,62,0,0
14,8,10227,15 Esquimalt - Fort/Yates Exp,,0,66570,62,0,0
14,8,10228,15 Esquimalt - Fort/Yates Exp,,0,66622,62,0,0
14,5,10229,15 Esquimalt - Fort/Yates Exp,,0,64301,62,0,0
14,5,10230,15 Esquimalt - Fort/Yates Exp,,0,64282,62,0,0
14,4,10231,15 Esquimalt - Fort/Yates Exp,,0,66300,62,0,0
14,8,10232,15 Esquimalt - Fort/Yates Exp,,0,66541,62,0,0
14,4,10233,15 Esquimalt - Fort/Yates Exp,,0,66525,62,0,0
14,4,10234,15 Esquimalt - Fort/Yates Exp,,0,66468,62,0,0
14,8,10235,15 Esquimalt - Fort/Yates Exp,,0,66538,62,0,0
14,8,10236,15 Esquimalt - Fort/Yates Exp,,0,66539,62,0,0
14,4,10237,15 Esquimalt - Fort/Yates Exp,,0,66461,62,0,0
14,8,10238,15 Esquimalt - Fort/Yates Exp,,0,66552,62,0,0
14,8,10239,15 Esquimalt - Fort/Yates Exp,,0,66602,62,0,0
14,6,10240,15 Esquimalt - Fort/Yates Exp,,0,66070,62,0,0
14,6,10241,15 Esquimalt - Fort/Yates Exp,,0,66177,62,0,0
14,4,10242,15 Esquimalt - Fort/Yates Exp,,0,66366,62,0,0
14,4,10243,15 Esquimalt - Fort/Yates Exp,,0,66384,62,0,0
14,4,10244,15 Esquimalt - Fort/Yates Exp,,0,66416,62,0,0
14,4,10245,15 Esquimalt - Fort/Yates Exp,,0,66461,62,0,0
14,4,10246,15 Esquimalt - Fort/Yates Exp,,0,66468,62,0,0
14,2,10247,15 Esquimalt - Fort/Yates Exp,,0,65293,62,0,0
14,1,10248,15 Esquimalt - Fort/Yates Exp,,0,65225,62,0,0
14,1,10249,15 Esquimalt - Fort/Yates Exp,,0,65278,62,0,0
14,4,10250,15 Esquimalt - Fort/Yates Exp,,0,66341,62,0,0
14,4,10251,15 Esquimalt - Fort/Yates Exp,,0,66307,62,0,0
14,4,10252,15 Esquimalt - Fort/Yates Exp,,0,66189,62,0,0
14,6,10253,15 Esquimalt - Fort/Yates Exp,,0,66089,62,0,0
14,6,10254,15 Esquimalt - Fort/Yates Exp,,0,66122,62,0,0
14,2,10255,15 Esquimalt - Fort/Yates Exp,,0,65445,62,0,0
14,6,10256,15 Esquimalt - Fort/Yates Exp,,0,66025,62,0,0
14,6,10257,15 Esquimalt - Fort/Yates Exp,,0,66025,62,0,0
14,6,10258,15 Esquimalt - Fort/Yates Exp,,0,66070,62,0,0
14,6,10259,15 Esquimalt - Fort/Yates Exp,,0,66090,62,0,0
14,6,10260,15 Esquimalt - Fort/Yates Exp,,0,66074,62,0,0
14,9,10261,15 Esquimalt - Fort/Yates Exp,,0,65935,62,0,0
14,6,10262,15 Esquimalt - Fort/Yates Exp,,0,66055,62,0,0
14,9,10263,15 Esquimalt - Fort/Yates Exp,,0,65985,62,0,0
14,8,10264,15 Esquimalt - Fort/Yates Exp,,0,66538,62,0,0
14,8,10265,15 Esquimalt - Fort/Yates Exp,,0,66604,62,0,0
14,8,10266,15 Esquimalt - Fort/Yates Exp,,0,66621,62,0,0
14,9,10267,15 Esquimalt - Fort/Yates Exp,,0,65933,62,0,0
14,9,10268,15 Esquimalt - Fort/Yates Exp,,0,65926,62,0,0
14,9,10269,15 Esquimalt - Fort/Yates Exp,,0,65926,62,0,0
14,9,10270,15 Esquimalt - Fort/Yates Exp,,0,65940,62,0,0
14,9,10271,15 Esquimalt - Fort/Yates Exp,,0,65958,62,0,0
14,9,10272,15 Esquimalt - Fort/Yates Exp,,0,65983,62,0,0
14,6,10273,15 Esquimalt - Fort/Yates Exp,,0,66058,62,0,0
14,6,10274,15 Esquimalt - Fort/Yates Exp,,0,66085,62,0,0
14,6,10275,15 Esquimalt - Fort/Yates Exp,,0,66058,62,0,0
14,6,10276,15 Esquimalt - Fort/Yates Exp,,0,66040,62,0,0
14,4,10277,15 Esquimalt - Fort/Yates Exp,,0,66504,62,0,0
14,4,10278,15 Esquimalt - Fort/Yates Exp,,0,66522,62,0,0
14,6,10279,15 Esquimalt - Fort/Yates Exp,,0,66101,62,0,0
14,6,10280,15 Esquimalt - Fort/Yates Exp,,0,66090,62,0,0
14,9,10281,15 Esquimalt - Fort/Yates Exp,,0,66009,62,0,0
14,6,10282,15 Esquimalt - Fort/Yates Exp,,0,66025,62,0,0
14,9,10283,15 Esquimalt - Fort/Yates Exp,,0,65957,62,0,0
14,2,10284,15 Esquimalt - Fort/Yates Exp,,0,65411,62,0,0
14,7,10285,15 Esquimalt - Fort/Yates Exp,,0,65848,62,0,0
14,9,10286,15 Esquimalt - Fort/Yates Exp,,0,65941,62,0,0
14,6,10287,15 Esquimalt - Fort/Yates Exp,,0,66093,62,0,0
14,6,10288,15 Esquimalt - Fort/Yates Exp,,0,66093,62,0,0
14,6,10289,15 Esquimalt - Fort/Yates Exp,,0,66050,62,0,0
14,6,10290,15 Esquimalt - Fort/Yates Exp,,0,66118,62,0,0
14,4,10291,15 Esquimalt - Fort/Yates Exp,,0,66341,62,0,0
14,4,10292,15 Esquimalt - Fort/Yates Exp,,0,66332,62,0,0
14,6,10293,15 Esquimalt - Fort/Yates Exp,,0,66118,62,0,0
14,4,10294,15 Esquimalt - Fort/Yates Exp,,0,66384,62,0,0
14,6,10295,15 Esquimalt - Fort/Yates Exp,,0,66155,62,0,0
14,6,10296,15 Esquimalt - Fort/Yates Exp,,0,66119,62,0,0
14,4,10297,15 Esquimalt - Fort/Yates Exp,,0,66184,62,0,0
14,3,10298,15 Esquimalt - Fort/Yates Exp,,0,64599,62,0,0
14,7,10299,15 Esquimalt - Fort/Yates Exp,,0,65812,62,0,0
14,7,10300,15 Esquimalt - Fort/Yates Exp,,0,65846,62,0,0
14,5,10301,15 Esquimalt - Fort/Yates Exp,,0,64584,62,0,0
14,3,10302,15 Esquimalt - Fort/Yates Exp,,0,64668,62,0,0
14,4,10303,15 Esquimalt - Fort/Yates Exp,,0,66258,62,0,0
